vehicle_name,drive_train,size,purchase_cost,operation_cost,maintenance_cost,passengers,est_yearly_miles
Tesla_Model_3,EV,S,39990,0.056,0.02,5,15000
Nissan_Leaf,EV,S,31000,0.055,0.049,5,15000
Toyota_Prius,EV,S,24325,0.055,0.027,5,15000
Nissan_eNV200,EV,M,32000,0.026,0.05,7,15000
Est_Large_Shuttle,EV,L,60000,0.15,0.4,24,20000
Proterra_bus,EV,XL,555000,0.2,0.58,56,43000
Totota_camry_LE,ICE,S,24425,0.088,0.025,5,15000
Audi_A6,ICE,S,54900,0.15,0.06,5,15000
Chevrolet_Malibu,ICE,S,22095,0.1,0.035,5,15000
Ford_Transit,ICE,M,40180,0.11,0.035,7,15000
Nissan_NV200,ICE,M,36110,0.1,0.049,7,15000
Allstar_MVP,ICE,L,64985,0.37,0.2,24,8000
Freightliner_Starcraft,ICE,XL,129999,0.53,1.75,36,43000